,REGDATE,HIT,KEYWORD
0,2011-03-07,10799,구제역; 침출수; 양수처리법; 반응벽
1,2011-03-14,10799,사이버 포옹;사이버 커뮤니케이션;허기파자마
2,2011-03-21,15897,원자력발전; 핵연료봉; 원자로; 노심; 사용후핵연료; 방사성 물질
3,2011-03-28,15735,스파이;첩보원;마타하리 암호;제임스 본드;맥가이버 칼;스마트폰;정찰기;바퀴벌레;방사능
4,2011-04-11,19127,곤충독;독;뱀;말벌;장수말벌
5,2011-04-11,20896,백두산;화산;화산폭발;자연재해;음파;음파관측소
6,2011-04-25,11943,슈퍼농산물; 식물유전자; ABCG40; AtABCC1; AtABCC2; AtTDX; ABR1; OSKAT; CBL
7,2011-05-02,47544,LTE; 4세대 이동통신; 4G; 와이브로
8,2011-05-09,32489,공룡;이;화석;DNA 분석
9,2011-05-09,58416,마이야르;아미노산;환원당;향기;냄새
10,2011-05-23,83648,인체 보형물;실리콘;고어텍스;보톡스;필러
11,2011-06-13,16837,레이저;무통주사;약물전달시스템;자성나노캡슐;스마트 고분자;폴리피롤
12,2011-06-27,25368,복사;프린터기;프린트;복사기;형광;형광펜
13,2011-06-27,23816,노화;무성생식;해파리;투리토프시스 누트리쿨라;텔로미어;텔로머라아제
14,2011-07-04,29629,뇌;두뇌;대뇌피질
15,2011-07-11,20705,휴대전화;전자파;신경교종
16,2011-07-18,13350,자외선;광노화;피하지방;주름
17,2011-07-25,11232,TV;텔레비전;스마트 TV;3D TV;편광 안경;셔터 안경
18,2011-08-08,17673,선글라스;자외선 차단; 편광
19,2011-08-22,19082,손;세균;황색포도상구균;손세정제;손소독제
20,2011-08-29,15832,과학이론;낙하속도;열질량이론;관성;
21,2011-09-12,13359,박쥐;비행;털;비막;초음파;TRPV1
22,2011-09-26,20465,윈드시어;바람;비행;양력
23,2011-09-30,21014,톈궁 1호;우주정거장;우주발사체
24,2011-10-10,14935,부탄가스;압력밥솥;기화열
25,2011-10-17,9209,로봇;자폐성 장애;인터랙션 사이언스;캐스퍼;키폰;패로
26,2011-10-21,22681,남성호르몬;CAH;선천성부신과형성증;안드로겐
27,2011-10-31,13407,노벨상;초신성;암흑에너지;빅뱅;준결정
28,2011-11-07,19436,이그노벨상;와사비;원반던지기;하품
29,2011-11-14,34419,거미;거미줄;생체모방;극세사
30,2011-11-21,25370,심해생물;심해아귀;집낙지;번식;번식 전략
31,2011-11-28,45436,수염;털;고양이;바다표범;볏
32,2011-11-28,59705,발명;특허;아이스크림콘;삼각팬티;일회용 밴드;옷핀
33,2011-12-05,15151,뇌;심리학;시간;하루주기성 시계;시간간격 시계
34,2011-12-12,13343,가습;가습기;습도
35,2011-12-19,22108,백색소음;백색음;소음
0,2012-01-02,72690,용;흑룡;2012년
1,2012-01-09,13538,우주식품;우주음식;동결건조
2,2012-01-16,30316,인공지능;로봇;키보;왓슨;CRAB
3,2012-01-23,12197,전통놀이;연날리기;베르누이;양력;항력;윷놀이
4,2012-01-23,7365,우주예보;우주날씨;슈퍼플레어;플레어;태양폭풍;코로나 질량 방출;CME
5,2012-02-13,22127,반려동물;애완동물;개;고양이;애완견
6,2012-02-20,33935,사카린;인공감미료;콘스탄틴 팔베르크
7,2012-02-27,17599,타이타닉;선박;여객선;배;침몰;수밀격벽;수밀구획;격실
